id,Anio,Mes,Departamento,Municipio,Deslizamiento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
0,2013,10,CASANARE,YOPAL,NO,325,238.7,26.2
1,2009,05,SANTANDER,ZAPATOCA,NO,1810,162,19
2,2011,09,TOLIMA,IBAGUE,NO,750,152.9,25.8
3,1999,04,NARINO,TAMINANGO,SI,1875,210.8,17.7
4,2012,08,SUCRE,SAN BENITO ABAD,NO,20,252.3,28.1
5,2011,02,BOLIVAR,MAGANGUE,NO,18,17.4,28.8
6,2013,08,PUTUMAYO,MOCOA,SI,650,348,22.3
7,2006,10,BOGOTA DC,BOGOTA DC,NO,2570,101,13.8
8,2011,09,LA GUAJIRA,FONSECA,NO,170,138.2,28
9,2006,05,BOYACA,VILLA DE LEYVA,NO,2215,106.7,17.2
10,2005,01,VALLE DEL CAUCA,BUGALAGRANDE,NO,1002,78.1,23.3
11,2012,02,ANTIOQUIA,BARBOSA,NO,1500,80.1,22.2
12,2013,08,VALLE DEL CAUCA,CALI,NO,954,40.3,25.8
13,2011,11,QUINDIO,ARMENIA,SI,1229,264.1,21.5
14,2013,07,SANTANDER,BUCARAMANGA,NO,1018,111.7,23.1
15,2009,01,TOLIMA,IBAGUE,NO,750,63,25.3
16,2008,05,CAUCA,PURACE,NO,2085,199.7,16
17,2006,05,CHOCO,MEDIO SAN JUAN,NO,40,535.5,26.3
18,2013,09,TOLIMA,PURIFICACION,NO,400,135.8,26.7
19,2005,06,ATLANTICO,SOLEDAD,NO,14,83,28.2
20,2011,05,CAUCA,PATIA,NO,635,167.3,25.9
21,2011,12,VALLE DEL CAUCA,EL CERRITO,NO,2609,129.7,13.3
22,2012,02,CASANARE,YOPAL,NO,325,53.7,28.7
23,2005,11,META,CUMARAL,NO,305,292.3,25.7
24,2002,05,ANTIOQUIA,TURBO,NO,37,290.7,27.4
25,2010,05,VALLE DEL CAUCA,CALI,NO,954,132.9,25.2
26,2013,02,CASANARE,YOPAL,NO,325,53.7,28.7
27,2008,08,CALDAS,MANIZALES,SI,2058,74.2,17.2
28,2009,11,HUILA,NEIVA,NO,1691,229.1,18.4
29,2007,08,ATLANTICO,SOLEDAD,NO,14,112.6,28.1
30,2012,09,ATLANTICO,MANATI,NO,10,143.8,27.5
31,2003,10,CHOCO,BAHIA SOLANO,NO,4,770,25.6
32,2001,08,BOYACA,VILLA DE LEYVA,NO,2215,40.2,16.9
33,2011,09,NORTE DE SANTANDER,CUCUTA,NO,100,221.6,28.4
34,2009,06,CASANARE,VILLANUEVA,NO,255,393.6,24.5
35,2000,07,SANTANDER,PUERTO PARRA,NO,168,237.7,28.4
36,2010,02,CUNDINAMARCA,COGUA,NO,3100,53.1,10.5
37,2008,08,META,LEJANIAS,NO,680,327.5,22.9
38,2013,05,ANTIOQUIA,VENECIA,NO,1600,345.9,20.1
39,2012,09,CHOCO,QUIBDO,NO,53,701.7,26.5
40,2011,11,CAUCA,PATIA,NO,635,263.6,25.6
41,2011,12,HUILA,GUADALUPE,NO,2102,110.2,16.4
42,2006,01,CAUCA,CAJIBIO,NO,1850,250.1,18.3
43,2009,08,ANTIOQUIA,ANDES,NO,1180,178.9,21.9
44,2013,03,VALLE DEL CAUCA,CALI,NO,954,94.2,25.4
45,2011,06,BOLIVAR,MAGANGUE,NO,18,151.2,28.1
46,2008,12,BOYACA,TOCA,NO,2700,46.6,13.5
47,2007,11,ANTIOQUIA,MEDELLIN,SI,1490,158.9,21.8
48,2007,06,CORDOBA,MONTERIA,NO,30,153.3,27.5
49,2013,03,VALLE DEL CAUCA,SEVILLA,NO,1692,228.9,18.8
50,2001,04,CESAR,VALLEDUPAR,NO,70,137.3,29.6
51,2008,11,CUNDINAMARCA,SAN FRANCISCO,NO,2475,218.3,13.5
52,2010,03,TOLIMA,PRADO,NO,349,209.3,27.8
53,2006,02,NARINO,PASTO,SI,2830,89.3,12
54,2007,03,VALLE DEL CAUCA,BUENAVENTURA,NO,5,337.3,26.1
55,2004,01,QUINDIO,ARMENIA,SI,1229,136.1,22.2
56,2010,10,VALLE DEL CAUCA,PALMIRA,NO,1058,122.3,22.6
57,2009,07,META,FUENTE DE ORO,NO,280,255.7,24.6
58,2009,02,HUILA,NEIVA,NO,1691,170.7,18.7
59,2004,05,MAGDALENA,PIVIJAY,NO,20,129.1,28.4
60,2011,04,META,VILLAVICENCIO,NO,423,520.2,25.7
61,2011,10,MAGDALENA,SANTA MARTA,NO,30,266.3,26.6
62,2008,11,CUNDINAMARCA,MADRID,NO,2550,64.5,13.8
63,2005,08,RISARALDA,PEREIRA,NO,1342,129,22
64,2012,08,CESAR,PAILITAS,NO,50,180,27.9
65,2011,04,TOLIMA,IBAGUE,SI,750,200.7,24.7
66,2011,07,BOYACA,TUNJA,SI,2690,49.1,12.2
67,2012,03,VALLE DEL CAUCA,PALMIRA,NO,1058,116.6,23.5
68,2012,08,ANTIOQUIA,ANDES,SI,1180,178.9,21.9
69,2008,12,CAUCA,PURACE,NO,2085,111.2,16
70,1999,01,CALDAS,MANIZALES,NO,2058,103.5,16.9
71,2012,09,QUINDIO,CALARCA,NO,1450,140.8,20.4
72,2001,08,VALLE DEL CAUCA,CALI,NO,954,40.3,25.8
73,2012,09,CAQUETA,FLORENCIA,SI,280,274.6,24.9
74,2006,11,META,VILLAVICENCIO,NO,423,424.5,25.6
75,2013,05,CUNDINAMARCA,NEMOCON,NO,2580,67.3,14.2
76,2010,11,META,RESTREPO,NO,1360,108.5,19.7
77,2011,12,CUNDINAMARCA,ANAPOIMA,NO,810,90.8,24.7
78,2012,07,HUILA,CAMPOALEGRE,NO,553,36.2,26.7
79,2006,05,ANTIOQUIA,NECOCLI,NO,10,205.6,27.2
80,2010,02,NORTE DE SANTANDER,OCANA,NO,1435,19.3,20.8
81,2012,09,TOLIMA,DOLORES,NO,1456,70.9,21.7
82,2011,07,CALDAS,MANIZALES,NO,2058,74.2,17.2
83,2013,10,TOLIMA,CHAPARRAL,NO,1000,350.5,23.2
84,2007,11,CAUCA,LA SIERRA,SI,1870,399,17.3
85,2002,07,RISARALDA/CALDAS,SANTA ROSA DE CABAL,NO,1600,157.6,20
86,2007,10,ATLANTICO,REPELON,NO,10,161.5,27.7
87,2013,01,CUNDINAMARCA,CHOCONTA,NO,2709,17.6,12
88,2011,08,RISARALDA,PEREIRA,NO,1342,129,22
89,1998,08,CORDOBA,CHIMA,NO,1090,257.8,23.4
90,2013,01,HUILA,PITALITO,NO,1320,61.7,21
91,2008,12,CAUCA,PIENDAMO,SI,1800,257.4,18.7
92,1998,06,ARAUCA,ARAUCA,NO,128,304.7,25.8
93,1999,02,NORTE DE SANTANDER,SAN CAYETANO,NO,2150,137.9,15.9
94,2005,05,META,VILLAVICENCIO,NO,423,673.8,25.2
95,2011,12,PUTUMAYO,MOCOA,NO,650,214.8,23.4
96,2013,01,CESAR,VALLEDUPAR,NO,70,18,29.4
97,2011,12,CHOCO,RIO QUITO,NO,45,501.8,25.9
98,1999,12,CALDAS,MANIZALES,SI,2058,131.5,16.8
99,2010,12,CALDAS,MANIZALES,SI,2058,131.5,16.8
100,2013,08,QUINDIO,ARMENIA,NO,1229,95.6,22.6
