Anio,Mes,Departamento,Municipio,Evento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
2013,10,CASANARE,YOPAL,EXPLOSION,325,238.7,26.2
2009,05,SANTANDER,ZAPATOCA,INUNDACION,1810,162,19
2011,09,TOLIMA,IBAGUE,VENDAVAL,750,152.9,25.8
1999,04,NARINO,TAMINANGO,DESLIZAMIENTO,1875,210.8,17.7
2012,08,SUCRE,SAN BENITO ABAD,VENDAVAL,20,252.3,28.1
2011,02,BOLIVAR,MAGANGUE,VENDAVAL,18,17.4,28.8
2013,08,PUTUMAYO,MOCOA,DESLIZAMIENTO,650,348,22.3
2006,10,BOGOTA DC,BOGOTA DC,VENDAVAL,2570,101,13.8
2011,09,LA GUAJIRA,FONSECA,INUNDACION,170,138.2,28
2006,05,BOYACA,VILLA DE LEYVA,INUNDACION,2215,106.7,17.2
2005,01,VALLE DEL CAUCA,BUGALAGRANDE,INCENDIO ESTRUCTURAL,1002,78.1,23.3
2012,02,ANTIOQUIA,BARBOSA,INCENDIO FORESTAL,1500,80.1,22.2
2013,08,VALLE DEL CAUCA,CALI,INCENDIO FORESTAL,954,40.3,25.8
2011,11,QUINDIO,ARMENIA,DESLIZAMIENTO,1229,264.1,21.5
2013,07,SANTANDER,BUCARAMANGA,INCENDIO ESTRUCTURAL,1018,111.7,23.1
2009,01,TOLIMA,IBAGUE,VENDAVAL,750,63,25.3
2008,05,CAUCA,PURACE,INUNDACION,2085,199.7,16
2006,05,CHOCO,MEDIO SAN JUAN,VENDAVAL,40,535.5,26.3
2013,09,TOLIMA,PURIFICACION,INCENDIO FORESTAL,400,135.8,26.7
2005,06,ATLANTICO,SOLEDAD,VENDAVAL,14,83,28.2
2011,05,CAUCA,PATIA,INUNDACION,635,167.3,25.9
2011,12,VALLE DEL CAUCA,EL CERRITO,INUNDACION,2609,129.7,13.3
2012,02,CASANARE,YOPAL,INCENDIO FORESTAL,325,53.7,28.7
2005,11,META,CUMARAL,INUNDACION,305,292.3,25.7
2002,05,ANTIOQUIA,TURBO,INUNDACION,37,290.7,27.4
2010,05,VALLE DEL CAUCA,CALI,INUNDACION,954,132.9,25.2
2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,325,53.7,28.7
2008,08,CALDAS,MANIZALES,DESLIZAMIENTO,2058,74.2,17.2
2009,11,HUILA,NEIVA,EXPLOSION,1691,229.1,18.4
2007,08,ATLANTICO,SOLEDAD,VENDAVAL,14,112.6,28.1
2012,09,ATLANTICO,MANATI,VENDAVAL,10,143.8,27.5
2003,10,CHOCO,BAHIA SOLANO,VENDAVAL,4,770,25.6
2001,08,BOYACA,VILLA DE LEYVA,INCENDIO FORESTAL,2215,40.2,16.9
2011,09,NORTE DE SANTANDER,CUCUTA,TORMENTA ELECTRICA,100,221.6,28.4
2009,06,CASANARE,VILLANUEVA,INUNDACION,255,393.6,24.5
2000,07,SANTANDER,PUERTO PARRA,VENDAVAL,168,237.7,28.4
2010,02,CUNDINAMARCA,COGUA,SEQUIA,3100,53.1,10.5
2008,08,META,LEJANIAS,INUNDACION,680,327.5,22.9
2013,05,ANTIOQUIA,VENECIA,INUNDACION,1600,345.9,20.1
2012,09,CHOCO,QUIBDO,INCENDIO ESTRUCTURAL,53,701.7,26.5
2011,11,CAUCA,PATIA,INUNDACION,635,263.6,25.6
2011,12,HUILA,GUADALUPE,INUNDACION,2102,110.2,16.4
2006,01,CAUCA,CAJIBIO,INCENDIO ESTRUCTURAL,1850,250.1,18.3
2009,08,ANTIOQUIA,ANDES,VENDAVAL,1180,178.9,21.9
2013,03,VALLE DEL CAUCA,CALI,VENDAVAL,954,94.2,25.4
2011,06,BOLIVAR,MAGANGUE,VENDAVAL,18,151.2,28.1
2008,12,BOYACA,TOCA,INUNDACION,2700,46.6,13.5
2007,11,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1490,158.9,21.8
2007,06,CORDOBA,MONTERIA,INUNDACION,30,153.3,27.5
2013,03,VALLE DEL CAUCA,SEVILLA,INUNDACION,1692,228.9,18.8
2001,04,CESAR,VALLEDUPAR,INCENDIO FORESTAL,70,137.3,29.6
2008,11,CUNDINAMARCA,SAN FRANCISCO,INUNDACION,2475,218.3,13.5
2010,03,TOLIMA,PRADO,VENDAVAL,349,209.3,27.8
2006,02,NARINO,PASTO,DESLIZAMIENTO,2830,89.3,12
2007,03,VALLE DEL CAUCA,BUENAVENTURA,VENDAVAL,5,337.3,26.1
2004,01,QUINDIO,ARMENIA,DESLIZAMIENTO,1229,136.1,22.2
2010,10,VALLE DEL CAUCA,PALMIRA,INUNDACION,1058,122.3,22.6
2009,07,META,FUENTE DE ORO,INUNDACION,280,255.7,24.6
2009,02,HUILA,NEIVA,VENDAVAL,1691,170.7,18.7
2004,05,MAGDALENA,PIVIJAY,VENDAVAL,20,129.1,28.4
2011,04,META,VILLAVICENCIO,VENDAVAL,423,520.2,25.7
2011,10,MAGDALENA,SANTA MARTA,INUNDACION,30,266.3,26.6
2008,11,CUNDINAMARCA,MADRID,INUNDACION,2550,64.5,13.8
2005,08,RISARALDA,PEREIRA,VENDAVAL-INCENDIO ESTRUCTURAL,1342,129,22
2012,08,CESAR,PAILITAS,INUNDACION,50,180,27.9
2011,04,TOLIMA,IBAGUE,DESLIZAMIENTO,750,200.7,24.7
2011,07,BOYACA,TUNJA,DESLIZAMIENTO,2690,49.1,12.2
2012,03,VALLE DEL CAUCA,PALMIRA,INUNDACION,1058,116.6,23.5
2012,08,ANTIOQUIA,ANDES,DESLIZAMIENTO,1180,178.9,21.9
2008,12,CAUCA,PURACE,INUNDACION,2085,111.2,16
1999,01,CALDAS,MANIZALES,INUNDACION,2058,103.5,16.9
2012,09,QUINDIO,CALARCA,INCENDIO FORESTAL,1450,140.8,20.4
2001,08,VALLE DEL CAUCA,CALI,INCENDIO FORESTAL,954,40.3,25.8
2012,09,CAQUETA,FLORENCIA,DESLIZAMIENTO,280,274.6,24.9
2006,11,META,VILLAVICENCIO,INUNDACION,423,424.5,25.6
2013,05,CUNDINAMARCA,NEMOCON,INUNDACION,2580,67.3,14.2
2010,11,META,RESTREPO,VENDAVAL,1360,108.5,19.7
2011,12,CUNDINAMARCA,ANAPOIMA,INUNDACION,810,90.8,24.7
2012,07,HUILA,CAMPOALEGRE,INCENDIO FORESTAL,553,36.2,26.7
2006,05,ANTIOQUIA,NECOCLI,INUNDACION,10,205.6,27.2
2010,02,NORTE DE SANTANDER,OCANA,SEQUIA,1435,19.3,20.8
2012,09,TOLIMA,DOLORES,INCENDIO FORESTAL,1456,70.9,21.7
2011,07,CALDAS,MANIZALES,INUNDACION,2058,74.2,17.2
2013,10,TOLIMA,CHAPARRAL,INCENDIO FORESTAL,1000,350.5,23.2
2007,11,CAUCA,LA SIERRA,DESLIZAMIENTO,1870,399,17.3
2002,07,RISARALDA/CALDAS,SANTA ROSA DE CABAL,INCENDIO FORESTAL,1600,157.6,20
2007,10,ATLANTICO,REPELON,INUNDACION,10,161.5,27.7
2013,01,CUNDINAMARCA,CHOCONTA,INCENDIO FORESTAL,2709,17.6,12
2011,08,RISARALDA,PEREIRA,COLAPSO,1342,129,22
1998,08,CORDOBA,CHIMA,INUNDACION,1090,257.8,23.4
2013,01,HUILA,PITALITO,INCENDIO FORESTAL,1320,61.7,21
2008,12,CAUCA,PIENDAMO,DESLIZAMIENTO,1800,257.4,18.7
1998,06,ARAUCA,ARAUCA,INUNDACION,128,304.7,25.8
1999,02,NORTE DE SANTANDER,SAN CAYETANO,INUNDACION,2150,137.9,15.9
2005,05,META,VILLAVICENCIO,INUNDACION,423,673.8,25.2
2011,12,PUTUMAYO,MOCOA,INUNDACION,650,214.8,23.4
2013,01,CESAR,VALLEDUPAR,INCENDIO FORESTAL,70,18,29.4
2011,12,CHOCO,RIO QUITO,INUNDACION,45,501.8,25.9
1999,12,CALDAS,MANIZALES,DESLIZAMIENTO,2058,131.5,16.8
2010,12,CALDAS,MANIZALES,DESLIZAMIENTO,2058,131.5,16.8
2013,08,QUINDIO,ARMENIA,INCENDIO FORESTAL,1229,95.6,22.6
2008,05,CAUCA,BOLIVAR,DESLIZAMIENTO,2300,109,16.6
2006,04,CUNDINAMARCA,YACOPI,DESLIZAMIENTO,1347,342.9,21.1
